accelerometer	 104.0Hz
cycle sample index,accel X,accel Y,accel Z
900,0.505,-0.251,1.017
901,0.207,-0.422,1.010
902,0.020,-0.638,1.005
903,0.027,-0.844,1.000
904,-0.133,-0.690,0.988
905,-0.675,-0.159,0.981
906,-1.435,0.449,0.972
907,-1.620,1.076,0.988
908,-0.531,1.163,1.006
909,0.628,0.665,1.026
910,0.682,0.211,1.026
911,0.023,0.010,1.009
912,0.131,-0.189,1.040
913,0.047,-0.659,1.017
914,0.292,-0.003,1.012
915,0.182,0.042,0.991
916,-0.063,-0.001,0.998
917,-0.287,0.294,1.002
918,-0.177,0.595,1.007
919,0.029,0.486,1.009
920,0.051,0.242,1.006
